project_id,project_name,brand_family,official_project_url,inquiry_form_url,official_contact_page_url,region,city_area,micro_location,project_type,project_status,current_sales_status,developer_inventory_status,unit_types_offered_json,starting_price_value,starting_price_currency,price_range_min,price_range_max,price_status,pricing_date,pricing_disclaimer,key_amenities_json,golf_flag,beach_access_flag,clubhouse_flag,pools_flag,source_links_json,last_verified_date,confidence_score,disclaimers_json,zones_json,unit_templates_json,listings_json
97_hills,97 Hills,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/97-hills,https://www.palmhillsdevelopments.com/en-us/residential-properties/97-hills,https://www.palmhillsdevelopments.com/en-us/contactus,East,New Cairo,Middle Ring Road,residential,under_construction,selling,available,"[""Villa"",""Townhouse"",""Family Home""]",37000000.0,EGP,37000000.0,37000000.0,official,2026-02-10,Starting prices shown on zone cards,"[""Gated Community""]",,,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/97-hills""]",2026-02-10,0.8,"[""Starting prices shown on zone cards"",""BUA/bedroom data not published on official site; available in brochures.""]","[{""zone_name"":""Zone 1"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/97-hills"",""captured_date"":""2026-02-10""}]","[{""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""37000000"",""price_range_max"":""37000000"",""currency"":""EGP""}]","[{""listing_id"":""97_hills_zone_1_villa"",""zone_name"":""Zone 1"",""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""37000000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/97-hills"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""}]"
badya,Badya,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya,https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya,https://www.palmhillsdevelopments.com/en-us/contactus,West,6th of October / West Cairo,Badya City,residential,under_construction,selling,available,"[""Villa"",""Townhouse"",""Apartment""]",14700000.0,EGP,14700000.0,34400000.0,official,2026-02-10,Starting prices per zone card,"[""Clubhouse"",""Schools"",""Healthcare"",""Sports Arenas""]",,,True,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya""]",2026-02-10,0.8,"[""Starting prices per zone card"",""BUA/bedroom data not published on official site; available in brochures.""]","[{""zone_name"":""Dae"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""captured_date"":""2026-02-10""},{""zone_name"":""Rae"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""captured_date"":""2026-02-10""},{""zone_name"":""Isana"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""captured_date"":""2026-02-10""},{""zone_name"":""Isha"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""captured_date"":""2026-02-10""},{""zone_name"":""Isola"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""captured_date"":""2026-02-10""},{""zone_name"":""Isara"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""captured_date"":""2026-02-10""}]","[{""unit_type"":""Villa/Townhouse"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""34400000"",""price_range_max"":""34400000"",""currency"":""EGP""},{""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""14700000"",""price_range_max"":""14700000"",""currency"":""EGP""},{""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""14700000"",""price_range_max"":""14700000"",""currency"":""EGP""},{""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""18200000"",""price_range_max"":""18200000"",""currency"":""EGP""},{""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""17500000"",""price_range_max"":""17500000"",""currency"":""EGP""},{""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""14700000"",""price_range_max"":""14700000"",""currency"":""EGP""}]","[{""listing_id"":""badya_dae_villa/townhouse"",""zone_name"":""Dae"",""unit_type"":""Villa/Townhouse"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""34400000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""badya_rae_apartment"",""zone_name"":""Rae"",""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""14700000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""badya_isana_apartment"",""zone_name"":""Isana"",""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""14700000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""badya_isha_apartment"",""zone_name"":""Isha"",""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""18200000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""badya_isola_apartment"",""zone_name"":""Isola"",""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""17500000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""badya_isara_apartment"",""zone_name"":""Isara"",""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""14700000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/city/badya"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""}]"
bamboo,Bamboo,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/bamboo,https://www.palmhillsdevelopments.com/en-us/residential-properties/bamboo,https://www.palmhillsdevelopments.com/en-us/contactus,West,6th of October / West Cairo,Palm Hills October,residential,delivered,not_selling,sold_out,[],,,,,,2026-02-10,Delivered/Operating — no active sales,[],,,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/bamboo""]",2026-02-10,0.5,"[""Delivered/Operating — no active sales"",""BUA/bedroom data not published on official site; available in brochures.""]",[],[],[]
bamboo_iii,Bamboo III,Residential,,,https://www.palmhillsdevelopments.com/en-us/contactus,West,6th of October / West Cairo,,residential,,,,[],,,,,,2026-02-10,Project page not found,[],,,,,[],2026-02-10,0.3,"[""Project page not found on official site."",""Project page not found"",""BUA/bedroom data not published on official site; available in brochures.""]",[],[],[]
bamboo_extension,Bamboo Extension,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/bamboo-extension,https://www.palmhillsdevelopments.com/en-us/residential-properties/bamboo-extension,https://www.palmhillsdevelopments.com/en-us/contactus,West,6th of October / West Cairo,Palm Hills October,residential,delivered,not_selling,sold_out,[],,,,,,2026-02-10,Delivered/Operating — no active sales,[],,,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/bamboo-extension""]",2026-02-10,0.5,"[""Delivered/Operating — no active sales"",""BUA/bedroom data not published on official site; available in brochures.""]",[],[],[]
casa,Casa,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/casa,https://www.palmhillsdevelopments.com/en-us/residential-properties/casa,https://www.palmhillsdevelopments.com/en-us/contactus,West,6th of October / West Cairo,,residential,delivered,not_selling,sold_out,[],,,,,,2026-02-10,Delivered/Operating — no active sales,[],,,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/casa""]",2026-02-10,0.5,"[""Delivered/Operating — no active sales"",""BUA/bedroom data not published on official site; available in brochures.""]",[],[],[]
golf_extension,Golf Extension,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/golf-extension,https://www.palmhillsdevelopments.com/en-us/residential-properties/golf-extension,https://www.palmhillsdevelopments.com/en-us/contactus,West,6th of October / West Cairo,,residential,delivered,not_selling,sold_out,[],,,,,,2026-02-10,Delivered/Operating,[],,,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/golf-extension""]",2026-02-10,0.5,"[""Delivered/Operating"",""BUA/bedroom data not published on official site; available in brochures.""]",[],[],[]
golf_views,Golf Views,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/golf-views,https://www.palmhillsdevelopments.com/en-us/residential-properties/golf-views,https://www.palmhillsdevelopments.com/en-us/contactus,West,6th of October / West Cairo,,residential,delivered,not_selling,sold_out,[],,,,,,2026-02-10,Delivered/Operating,[],,,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/golf-views""]",2026-02-10,0.5,"[""Delivered/Operating"",""BUA/bedroom data not published on official site; available in brochures.""]",[],[],[]
hacienda_bay,Hacienda Bay,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay,https://www.palmhillsdevelopments.com/en-us/contactus,Coast,North Coast,Sidi Abdel Rahman,residential,under_construction,selling,available,"[""Villa"",""Cabin"",""Chalet""]",25000000.0,EGP,25000000.0,100000000.0,official,2026-02-10,Starting prices per zone card,"[""Beach"",""Pools"",""Dining""]",,True,,True,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay""]",2026-02-10,0.8,"[""Starting prices per zone card"",""BUA/bedroom data not published on official site; available in brochures.""]","[{""zone_name"":""Le Sidi"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""captured_date"":""2026-02-10""},{""zone_name"":""Water Villas"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""captured_date"":""2026-02-10""},{""zone_name"":""X"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""captured_date"":""2026-02-10""},{""zone_name"":""Lakeyard"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""captured_date"":""2026-02-10""},{""zone_name"":""Bay Villas"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""captured_date"":""2026-02-10""}]","[{""unit_type"":""Cabin"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""25000000"",""price_range_max"":""25000000"",""currency"":""EGP""},{""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""100000000"",""price_range_max"":""100000000"",""currency"":""EGP""},{""unit_type"":""Villa/Chalet"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""45000000"",""price_range_max"":""45000000"",""currency"":""EGP""},{""unit_type"":""Cabin"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""25000000"",""price_range_max"":""25000000"",""currency"":""EGP""},{""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""100000000"",""price_range_max"":""100000000"",""currency"":""EGP""}]","[{""listing_id"":""hacienda_bay_le_sidi_cabin"",""zone_name"":""Le Sidi"",""unit_type"":""Cabin"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""25000000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_bay_water_villas_villa"",""zone_name"":""Water Villas"",""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""100000000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_bay_x_villa/chalet"",""zone_name"":""X"",""unit_type"":""Villa/Chalet"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""45000000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_bay_lakeyard_cabin"",""zone_name"":""Lakeyard"",""unit_type"":""Cabin"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""25000000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_bay_bay_villas_villa"",""zone_name"":""Bay Villas"",""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""100000000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-bay"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""}]"
hacienda_blue,Hacienda Blue,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-blue,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-blue,https://www.palmhillsdevelopments.com/en-us/contactus,Coast,North Coast,,residential,under_construction,selling,available,"[""Villa"",""Chalet"",""Townhouse""]",19000000.0,EGP,19000000.0,58000000.0,official,2026-02-10,Starting prices per zone card,"[""Beach""]",,True,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-blue""]",2026-02-10,0.8,"[""Starting prices per zone card"",""BUA/bedroom data not published on official site; available in brochures.""]","[{""zone_name"":""Villas"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-blue"",""captured_date"":""2026-02-10""},{""zone_name"":""Chalets"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-blue"",""captured_date"":""2026-02-10""},{""zone_name"":""Townhouse"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-blue"",""captured_date"":""2026-02-10""}]","[{""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""58000000"",""price_range_max"":""58000000"",""currency"":""EGP""},{""unit_type"":""Chalet"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""19000000"",""price_range_max"":""19000000"",""currency"":""EGP""},{""unit_type"":""Townhouse"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""31000000"",""price_range_max"":""31000000"",""currency"":""EGP""}]","[{""listing_id"":""hacienda_blue_villas_villa"",""zone_name"":""Villas"",""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""58000000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-blue"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_blue_chalets_chalet"",""zone_name"":""Chalets"",""unit_type"":""Chalet"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""19000000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-blue"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_blue_townhouse_townhouse"",""zone_name"":""Townhouse"",""unit_type"":""Townhouse"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""31000000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-blue"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""}]"
hacienda_heneish,Hacienda Heneish,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish,https://www.palmhillsdevelopments.com/en-us/contactus,Coast,North Coast,Heneish,residential,under_construction,selling,available,"[""Villa"",""Condo"",""Cabin"",""Chalet"",""Pied Dans L'eau""]",16900000.0,EGP,16900000.0,94800000.0,official,2026-02-10,Starting prices per zone card,"[""Beach""]",,True,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish""]",2026-02-10,0.8,"[""Starting prices per zone card"",""BUA/bedroom data not published on official site; available in brochures.""]","[{""zone_name"":""Villa"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""captured_date"":""2026-02-10""},{""zone_name"":""Condos"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""captured_date"":""2026-02-10""},{""zone_name"":""Cabins"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""captured_date"":""2026-02-10""},{""zone_name"":""Pied Dans L'eau"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""captured_date"":""2026-02-10""},{""zone_name"":""Chalets"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""captured_date"":""2026-02-10""}]","[{""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""52400000"",""price_range_max"":""52400000"",""currency"":""EGP""},{""unit_type"":""Condo"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""16900000"",""price_range_max"":""16900000"",""currency"":""EGP""},{""unit_type"":""Cabin"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""17800000"",""price_range_max"":""17800000"",""currency"":""EGP""},{""unit_type"":""Pied Dans L'eau"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""94800000"",""price_range_max"":""94800000"",""currency"":""EGP""},{""unit_type"":""Chalet"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""19500000"",""price_range_max"":""19500000"",""currency"":""EGP""}]","[{""listing_id"":""hacienda_heneish_villa_villa"",""zone_name"":""Villa"",""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""52400000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_heneish_condos_condo"",""zone_name"":""Condos"",""unit_type"":""Condo"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""16900000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_heneish_cabins_cabin"",""zone_name"":""Cabins"",""unit_type"":""Cabin"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""17800000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_heneish_pied_dans_l'eau_pied_dans_l'eau"",""zone_name"":""Pied Dans L'eau"",""unit_type"":""Pied Dans L'eau"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""94800000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_heneish_chalets_chalet"",""zone_name"":""Chalets"",""unit_type"":""Chalet"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""19500000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-heneish"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""}]"
hacienda_waters,Hacienda Waters,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters,https://www.palmhillsdevelopments.com/en-us/contactus,Coast,North Coast,,residential,under_construction,selling,available,"[""Apartment"",""Villa""]",11200000.0,EGP,11200000.0,106500000.0,official,2026-02-10,Starting prices per zone card,"[""Beach""]",,True,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters""]",2026-02-10,0.8,"[""Starting prices per zone card"",""BUA/bedroom data not published on official site; available in brochures.""]","[{""zone_name"":""Apartments"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters"",""captured_date"":""2026-02-10""},{""zone_name"":""Villas"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters"",""captured_date"":""2026-02-10""}]","[{""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""11200000"",""price_range_max"":""11200000"",""currency"":""EGP""},{""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_range_min_sqm"":""unknown"",""bua_range_max_sqm"":""unknown"",""price_range_min"":""106500000"",""price_range_max"":""106500000"",""currency"":""EGP""}]","[{""listing_id"":""hacienda_waters_apartments_apartment"",""zone_name"":""Apartments"",""unit_type"":""Apartment"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""11200000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""},{""listing_id"":""hacienda_waters_villas_villa"",""zone_name"":""Villas"",""unit_type"":""Villa"",""bedrooms"":""unknown"",""bua_sqm"":""unknown"",""price_value"":""106500000"",""currency"":""EGP"",""price_status"":""official"",""payment_plan_text"":""unknown"",""delivery"":""unknown"",""source_url"":""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters"",""evidence_type"":""dom"",""screenshot_path"":"""",""captured_date"":""2026-02-10""}]"
hacienda_waters_2,Hacienda Waters 2,Residential,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters-2,https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters-2,https://www.palmhillsdevelopments.com/en-us/contactus,Coast,North Coast,,residential,under_construction,selling,,[],,,,,on_request,2026-02-10,No zones currently displayed,"[""Beach""]",,True,,,"[""https://www.palmhillsdevelopments.com/en-us/residential-properties/hacienda-waters-2""]",2026-02-10,0.5,"[""No zones currently displayed"",""Pricing on request — contact Palm Hills."",""BUA/bedroom data not published on official site; available in brochures.""]",[],[],[]
